feature,importance_mean,importance_std
checking_status,0.08797619047619051,0.025075566067497713
purpose,0.02752380952380956,0.007850971602422265
savings_account_bonds,0.02463095238095241,0.011562147218372554
duration_in_month,0.02289285714285717,0.0077784752278803465
credit_history,0.021416666666666695,0.008740308854166046
other_installment_plans,0.012345238095238121,0.0029465428068283076
credit_amount,0.011845238095238141,0.004670931603097666
age_in_years,0.006904761904761925,0.005396154253320006
present_employment_since,0.006154761904761952,0.004930368317482157
other_debtors_guarantors,0.004619047619047667,0.0032671143661003143
foreign_worker,0.0032261904761904936,0.0019492207292267328
installment_rate,0.0025833333333333706,0.01017241529233931
telephone,0.0015476190476190975,0.0011343932618639492
number_of_people_liable,-0.0009166666666666434,0.0008231520910982311
number_of_existing_credits,-0.0014166666666666217,0.006693070586625477
present_residence_since,-0.003678571428571398,0.0017820995159662702
property,-0.0036904761904761663,0.004233477955642025
housing,-0.003964285714285687,0.004974438629889775
job,-0.004797619047619006,0.002665736444896766
